sgRNA	Gene	T0_1	T0_2	Tend_1	Tend_2
0Safe_safe_ACOC_204550.4525__WNT5A_1	0Safe_safe_ACOC__WNT5A	194	180	255	311
0Safe_safe_ACOC_204550.4525__WNT5A_2	0Safe_safe_ACOC__WNT5A	190	191	351	384
0Safe_safe_ACOC_204550.4525__WNT5A_3	0Safe_safe_ACOC__WNT5A	137	135	213	258
0Safe_safe_ACOC_204550.4525__WNT5A_4	0Safe_safe_ACOC__WNT5A	153	148	218	291
0Safe_safe_ACOC_204550.4590__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__0Safe_safe_ACOC	85	74	118	117
0Safe_safe_ACOC_204550.4590__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__0Safe_safe_ACOC	177	207	279	359
0Safe_safe_ACOC_204550.4590__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__0Safe_safe_ACOC	290	282	387	521
0Safe_safe_ACOC_204550.4590__0Safe_safe_GE_204550.1561	0Safe_safe_ACOC__0Safe_safe_GE	136	127	211	237
0Safe_safe_ACOC_204550.4590__0Safe_safe_GE_204550.1743	0Safe_safe_ACOC__0Safe_safe_GE	103	109	187	182
0Safe_safe_ACOC_204550.4590__0Safe_safe_GE_204550.1816	0Safe_safe_ACOC__0Safe_safe_GE	55	62	95	102
0Safe_safe_ACOC_204550.4590__0Safe_safe_MP_204550.1197	0Safe_safe_ACOC__0Safe_safe_MP	91	74	135	138
0Safe_safe_ACOC_204550.4590__0Safe_safe_MP_204550.1296	0Safe_safe_ACOC__0Safe_safe_MP	51	43	100	84
0Safe_safe_ACOC_204550.4590__0Safe_safe_MP_204550.1323	0Safe_safe_ACOC__0Safe_safe_MP	208	200	337	417
0Safe_safe_ACOC_204550.4590__0Safe_safe_U3_204550.6027	0Safe_safe_ACOC__0Safe_safe_U3	38	35	65	60
0Safe_safe_ACOC_204550.4590__CDK2_1	0Safe_safe_ACOC__CDK2	232	230	201	254
0Safe_safe_ACOC_204550.4590__CDK2_2	0Safe_safe_ACOC__CDK2	174	175	195	253
0Safe_safe_ACOC_204550.4590__CDK2_3	0Safe_safe_ACOC__CDK2	189	181	242	271
0Safe_safe_ACOC_204550.4590__CDK2_4	0Safe_safe_ACOC__CDK2	347	328	397	493
0Safe_safe_ACOC_204550.4590__CTNNB1_1	0Safe_safe_ACOC__CTNNB1	120	157	206	249
0Safe_safe_ACOC_204550.4590__CTNNB1_2	0Safe_safe_ACOC__CTNNB1	110	102	158	213
0Safe_safe_ACOC_204550.4590__CTNNB1_3	0Safe_safe_ACOC__CTNNB1	127	107	188	248
0Safe_safe_ACOC_204550.4590__CTNNB1_4	0Safe_safe_ACOC__CTNNB1	185	201	347	386
0Safe_safe_ACOC_204550.4590__ETF1_1	0Safe_safe_ACOC__ETF1	132	129	73	88
0Safe_safe_ACOC_204550.4590__ETF1_2	0Safe_safe_ACOC__ETF1	207	197	155	175
0Safe_safe_ACOC_204550.4590__ETF1_3	0Safe_safe_ACOC__ETF1	66	43	91	103
0Safe_safe_ACOC_204550.4590__ETF1_4	0Safe_safe_ACOC__ETF1	121	126	227	255
0Safe_safe_ACOC_204550.4590__EZH2_1	0Safe_safe_ACOC__EZH2	134	163	190	193
0Safe_safe_ACOC_204550.4590__EZH2_2	0Safe_safe_ACOC__EZH2	183	180	276	298
0Safe_safe_ACOC_204550.4590__EZH2_3	0Safe_safe_ACOC__EZH2	250	227	300	402
0Safe_safe_ACOC_204550.4590__EZH2_4	0Safe_safe_ACOC__EZH2	129	142	217	268
0Safe_safe_ACOC_204550.4590__HSP90B1_1	0Safe_safe_ACOC__HSP90B1	210	228	271	309
