construct_id	T0_1	T0_2	Tend_1	Tend_2
0Safe_safe_GE_204550.1743__MAPK13_4	44	48	87	101
0Safe_safe_GE_204550.1743__TRIB2_1	48	41	89	109
0Safe_safe_GE_204550.1743__TRIB2_2	42	41	72	61
0Safe_safe_GE_204550.1743__TRIB2_3	112	94	165	248
0Safe_safe_GE_204550.1743__TRIB2_4	58	42	105	103
0Safe_safe_GE_204550.1743__ULK1_1	27	35	40	63
0Safe_safe_GE_204550.1743__ULK1_2	45	59	83	72
0Safe_safe_GE_204550.1743__ULK1_3	44	31	36	53
0Safe_safe_GE_204550.1743__ULK1_4	80	86	142	163
0Safe_safe_GE_204550.1743__WNT5A_1	83	84	138	163
0Safe_safe_GE_204550.1743__WNT5A_2	93	82	144	139
0Safe_safe_GE_204550.1743__WNT5A_3	55	48	118	97
0Safe_safe_GE_204550.1743__WNT5A_4	52	62	116	136
0Safe_safe_GE_204550.1816__0Safe_safe_ACOC_204550.4522	27	35	45	47
0Safe_safe_GE_204550.1816__0Safe_safe_ACOC_204550.4525	92	106	131	178
0Safe_safe_GE_204550.1816__0Safe_safe_ACOC_204550.4590	130	122	195	261
0Safe_safe_GE_204550.1816__0Safe_safe_GE_204550.1561	47	55	88	95
0Safe_safe_GE_204550.1816__0Safe_safe_GE_204550.1743	48	40	121	123
0Safe_safe_GE_204550.1816__0Safe_safe_GE_204550.1816	21	32	71	67
0Safe_safe_GE_204550.1816__0Safe_safe_MP_204550.1197	42	39	57	86
0Safe_safe_GE_204550.1816__0Safe_safe_MP_204550.1296	31	21	51	79
0Safe_safe_GE_204550.1816__0Safe_safe_MP_204550.1323	119	108	190	226
0Safe_safe_GE_204550.1816__0Safe_safe_U3_204550.6027	21	19	31	46
0Safe_safe_GE_204550.1816__CDK2_1	122	104	124	139
0Safe_safe_GE_204550.1816__CDK2_2	89	100	142	123
0Safe_safe_GE_204550.1816__CDK2_3	82	94	119	158
0Safe_safe_GE_204550.1816__CDK2_4	155	151	243	261
0Safe_safe_GE_204550.1816__CTNNB1_1	50	56	99	107
0Safe_safe_GE_204550.1816__CTNNB1_2	38	41	97	107
0Safe_safe_GE_204550.1816__CTNNB1_3	46	50	108	148
0Safe_safe_GE_204550.1816__CTNNB1_4	95	82	152	195
0Safe_safe_GE_204550.1816__ETF1_1	63	67	37	52
0Safe_safe_GE_204550.1816__ETF1_2	71	83	60	92
0Safe_safe_GE_204550.1816__ETF1_3	29	26	31	40
0Safe_safe_GE_204550.1816__ETF1_4	52	57	103	134
0Safe_safe_GE_204550.1816__EZH2_1	38	54	99	122
0Safe_safe_GE_204550.1816__EZH2_2	82	95	137	165
0Safe_safe_GE_204550.1816__EZH2_3	96	107	160	206
0Safe_safe_GE_204550.1816__EZH2_4	61	62	122	141
0Safe_safe_GE_204550.1816__HSP90B1_1	98	92	133	176
0Safe_safe_GE_204550.1816__HSP90B1_2	89	113	133	154
0Safe_safe_GE_204550.1816__HSP90B1_3	43	50	86	103
0Safe_safe_GE_204550.1816__HSP90B1_4	33	33	58	71
0Safe_safe_GE_204550.1816__IGF1R_1	79	86	85	120
0Safe_safe_GE_204550.1816__IGF1R_2	97	73	154	197
0Safe_safe_GE_204550.1816__IGF1R_3	242	230	298	349
0Safe_safe_GE_204550.1816__IGF1R_4	42	35	46	63
0Safe_safe_GE_204550.1816__MAPK13_1	237	244	401	513
0Safe_safe_GE_204550.1816__MAPK13_2	73	71	118	128
0Safe_safe_GE_204550.1816__MAPK13_3	131	139	269	343
0Safe_safe_GE_204550.1816__MAPK13_4	68	84	139	148
0Safe_safe_GE_204550.1816__TRIB2_1	76	76	150	209
0Safe_safe_GE_204550.1816__TRIB2_2	59	63	98	111
0Safe_safe_GE_204550.1816__TRIB2_3	141	129	232	303
0Safe_safe_GE_204550.1816__TRIB2_4	71	73	135	151
0Safe_safe_GE_204550.1816__ULK1_1	40	43	67	70
0Safe_safe_GE_204550.1816__ULK1_2	103	85	113	130
0Safe_safe_GE_204550.1816__ULK1_3	55	56	84	115
0Safe_safe_GE_204550.1816__ULK1_4	108	122	193	169
0Safe_safe_GE_204550.1816__WNT5A_1	131	120	164	186
0Safe_safe_GE_204550.1816__WNT5A_2	117	91	210	221
0Safe_safe_GE_204550.1816__WNT5A_3	75	82	104	141
0Safe_safe_GE_204550.1816__WNT5A_4	93	75	155	209
0Safe_safe_MP_204550.1197__0Safe_safe_ACOC_204550.4522	16	21	19	43
0Safe_safe_MP_204550.1197__0Safe_safe_ACOC_204550.4525	36	46	62	99
0Safe_safe_MP_204550.1197__0Safe_safe_ACOC_204550.4590	75	60	117	133
0Safe_safe_MP_204550.1197__0Safe_safe_GE_204550.1561	35	28	60	62
0Safe_safe_MP_204550.1197__0Safe_safe_GE_204550.1743	29	30	44	49
0Safe_safe_MP_204550.1197__0Safe_safe_GE_204550.1816	17	14	30	46
0Safe_safe_MP_204550.1197__0Safe_safe_MP_204550.1197	15	17	41	36
0Safe_safe_MP_204550.1197__0Safe_safe_MP_204550.1296	13	7	30	36
0Safe_safe_MP_204550.1197__0Safe_safe_MP_204550.1323	70	73	136	165
0Safe_safe_MP_204550.1197__0Safe_safe_U3_204550.6027	16	11	20	26
0Safe_safe_MP_204550.1197__CDK2_1	58	63	67	86
0Safe_safe_MP_204550.1197__CDK2_2	52	45	86	81
0Safe_safe_MP_204550.1197__CDK2_3	60	60	82	79
0Safe_safe_MP_204550.1197__CDK2_4	93	84	114	144
0Safe_safe_MP_204550.1197__CTNNB1_1	35	30	45	64
0Safe_safe_MP_204550.1197__CTNNB1_2	34	26	50	63
0Safe_safe_MP_204550.1197__CTNNB1_3	29	28	52	61
0Safe_safe_MP_204550.1197__CTNNB1_4	66	54	78	110
0Safe_safe_MP_204550.1197__ETF1_1	39	47	32	45
0Safe_safe_MP_204550.1197__ETF1_2	53	52	38	54
0Safe_safe_MP_204550.1197__ETF1_3	14	16	33	38
0Safe_safe_MP_204550.1197__ETF1_4	38	27	62	66
0Safe_safe_MP_204550.1197__EZH2_1	34	28	58	60
0Safe_safe_MP_204550.1197__EZH2_2	54	60	88	111
0Safe_safe_MP_204550.1197__EZH2_3	74	71	118	131
0Safe_safe_MP_204550.1197__EZH2_4	36	37	60	86
0Safe_safe_MP_204550.1197__HSP90B1_1	59	72	78	102
0Safe_safe_MP_204550.1197__HSP90B1_2	73	69	79	96
0Safe_safe_MP_204550.1197__HSP90B1_3	35	35	41	56
0Safe_safe_MP_204550.1197__HSP90B1_4	20	18	27	38
0Safe_safe_MP_204550.1197__IGF1R_1	58	49	53	80
0Safe_safe_MP_204550.1197__IGF1R_2	49	42	79	89
0Safe_safe_MP_204550.1197__IGF1R_3	131	123	161	230
0Safe_safe_MP_204550.1197__IGF1R_4	27	18	25	27
0Safe_safe_MP_204550.1197__MAPK13_1	175	142	232	290
0Safe_safe_MP_204550.1197__MAPK13_2	61	43	80	86
0Safe_safe_MP_204550.1197__MAPK13_3	84	84	141	154
0Safe_safe_MP_204550.1197__MAPK13_4	33	36	58	64
0Safe_safe_MP_204550.1197__TRIB2_1	44	45	73	86
0Safe_safe_MP_204550.1197__TRIB2_2	53	36	72	69
0Safe_safe_MP_204550.1197__TRIB2_3	80	79	115	169
0Safe_safe_MP_204550.1197__TRIB2_4	52	49	77	97
0Safe_safe_MP_204550.1197__ULK1_1	28	29	45	40
0Safe_safe_MP_204550.1197__ULK1_2	38	45	47	60
0Safe_safe_MP_204550.1197__ULK1_3	25	28	41	45
0Safe_safe_MP_204550.1197__ULK1_4	52	77	97	146
0Safe_safe_MP_204550.1197__WNT5A_1	66	68	100	123
0Safe_safe_MP_204550.1197__WNT5A_2	55	75	96	129
0Safe_safe_MP_204550.1197__WNT5A_3	42	56	83	70
0Safe_safe_MP_204550.1197__WNT5A_4	43	50	92	117
0Safe_safe_MP_204550.1296__0Safe_safe_ACOC_204550.4522	32	37	85	67
0Safe_safe_MP_204550.1296__0Safe_safe_ACOC_204550.4525	79	90	120	147
0Safe_safe_MP_204550.1296__0Safe_safe_ACOC_204550.4590	114	118	189	232
0Safe_safe_MP_204550.1296__0Safe_safe_GE_204550.1561	36	50	91	96
0Safe_safe_MP_204550.1296__0Safe_safe_GE_204550.1743	60	37	72	99
0Safe_safe_MP_204550.1296__0Safe_safe_GE_204550.1816	21	20	30	38
0Safe_safe_MP_204550.1296__0Safe_safe_MP_204550.1197	33	42	76	70
0Safe_safe_MP_204550.1296__0Safe_safe_MP_204550.1296	25	30	54	54
0Safe_safe_MP_204550.1296__0Safe_safe_MP_204550.1323	102	106	172	211
0Safe_safe_MP_204550.1296__0Safe_safe_U3_204550.6027	21	28	38	44
0Safe_safe_MP_204550.1296__CDK2_1	121	115	115	146
0Safe_safe_MP_204550.1296__CDK2_2	76	84	94	112
0Safe_safe_MP_204550.1296__CDK2_3	80	85	106	105
0Safe_safe_MP_204550.1296__CDK2_4	161	166	234	228
0Safe_safe_MP_204550.1296__CTNNB1_1	50	54	137	124
0Safe_safe_MP_204550.1296__CTNNB1_2	42	51	86	101
0Safe_safe_MP_204550.1296__CTNNB1_3	54	70	125	139
0Safe_safe_MP_204550.1296__CTNNB1_4	70	99	153	173
0Safe_safe_MP_204550.1296__ETF1_1	62	56	55	44
0Safe_safe_MP_204550.1296__ETF1_2	86	84	68	82
